nu_ano,Nome da IES,sg_ies,no_categad,sg_uf,igc,fx_igc
2016,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pessoa Jurídica de Direito Público - Federal,MT,3.04996271215665,4
2016,UNIVERSIDADE DE BRASÍLIA,UNB,Pessoa Jurídica de Direito Público - Federal,DF,3.9582265551211,5
2016,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pessoa Jurídica de Direito Público - Federal,SE,3.10818069090976,4
2016,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pessoa Jurídica de Direito Público - Federal,AM,2.8534202099478,3
2016,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pessoa Jurídica de Direito Público - Federal,PI,2.83323217327252,3
2016,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pessoa Jurídica de Direito Público - Federal,MG,3.41050193552964,4
2016,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pessoa Jurídica de Direito Público - Federal,SP,3.9941097918563,5
2016,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pessoa Jurídica de Direito Público - Federal,MG,3.99911672770951,5
2016,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pessoa Jurídica de Direito Público - Estadual,PR,3.60057728562306,4
2016,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Privada sem fins lucrativos,PR,3.0265499100011,4
2016,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Privada sem fins lucrativos,PE,2.68808092035106,3
2016,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pessoa Jurídica de Direito Público - Federal,RS,3.2897348313349,4
2016,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Privada sem fins lucrativos,RS,2.81264161172433,3
2016,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Privada sem fins lucrativos,RS,3.51286449559836,4
2016,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Privada sem fins lucrativos,RJ,2.57133290067944,3
2016,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pessoa Jurídica de Direito Público - Federal,MG,3.6162484945406,4
2016,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Privada sem fins lucrativos,RS,2.93159224197354,3
2016,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Privada sem fins lucrativos,SP,2.58501032648827,3
2016,UNIVERSIDADE DE PASSO FUNDO,UPF,Privada sem fins lucrativos,RS,2.64536160261763,3
2016,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Privada sem fins lucrativos,RS,3.49120296275581,4
2016,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,SP,3.05354493270072,4
2016,UNIVERSIDADE FEEVALE,FEEVALE,Privada sem fins lucrativos,RS,3.07842513264745,4
2016,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Pessoa Jurídica de Direito Público - Estadual,BA,3.23087625900236,4
2016,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,Privada sem fins lucrativos,MG,2.60598879669255,3
2016,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Pessoa Jurídica de Direito Público - Estadual,CE,2.86701305091835,3
2016,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Privada sem fins lucrativos,MG,2.91829370800904,3
2016,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Pessoa Jurídica de Direito Público - Estadual,AL,2.22043392896783,3
2016,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Pessoa Jurídica de Direito Público - Estadual,BA,2.37718286079204,3
2016,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pessoa Jurídica de Direito Público - Estadual,SC,3.45093118796843,4
2016,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Pessoa Jurídica de Direito Público - Estadual,GO,2.28729699820364,3
2016,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pessoa Jurídica de Direito Público - Estadual,SP,4.37456543808811,5
2016,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pessoa Jurídica de Direito Público - Estadual,SP,3.90760268346029,4
2016,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pessoa Jurídica de Direito Público - Estadual,PR,3.53412280960408,4
2016,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Pessoa Jurídica de Direito Público - Estadual,RN,2.5570767516355,3
2016,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Pessoa Jurídica de Direito Público - Municipal,SC,2.60742281670399,3
2016,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade,SC,2.53144009231405,3
2016,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Pessoa Jurídica de Direito Público - Municipal,SC,2.6169930819255,3
